2025-10-20 16:34:09 | INFO | src.utils:setup_logging:126 | 日志系统初始化成功
2025-10-20 16:34:09 | INFO | src.utils:create_directories:220 | 目录创建成功: data/market_data
2025-10-20 16:34:09 | INFO | src.utils:create_directories:220 | 目录创建成功: logs
2025-10-20 16:34:09 | INFO | src.utils:create_directories:220 | 目录创建成功: outputs
2025-10-20 16:34:09 | INFO | src.data_fetcher:__init__:36 | ETF数据获取器初始化完成
2025-10-20 16:34:09 | INFO | src.indicators:__init__:25 | 技术指标计算器初始化完成
2025-10-20 16:34:09 | INFO | src.utils:load_account_data:67 | 账户数据加载成功: data/account_data.json
2025-10-20 16:34:09 | INFO | src.account:__init__:26 | 账户管理器初始化完成
2025-10-20 16:34:09 | INFO | src.prompt_generator:__init__:27 | 语料生成器初始化完成
2025-10-20 16:34:09 | INFO | src.llm_client:__init__:36 | LLM客户端初始化完成，提供商: openai
2025-10-20 16:34:09 | INFO | src.data_fetcher:get_real_time_data:60 | 获取ETF实时数据: 518880, 尝试次数: 1
2025-10-20 16:34:30 | INFO | src.data_fetcher:get_real_time_data:96 | ETF 518880 实时数据获取成功
2025-10-20 16:34:30 | INFO | src.llm_client:generate_trading_advice:257 | 调用LLM API生成交易建议，尝试次数: 1
2025-10-20 16:34:30 | ERROR | src.llm_client:generate_trading_advice:285 | LLM API请求失败 (尝试 1): 401 Client Error: Unauthorized for url: https://api.openai.com/v1/chat/completions
2025-10-20 16:34:30 | ERROR | src.llm_client:test_connection:389 | LLM API连接测试失败
2025-10-20 16:34:59 | INFO | src.utils:setup_logging:126 | 日志系统初始化成功
2025-10-20 16:34:59 | INFO | src.utils:create_directories:220 | 目录创建成功: data/market_data
2025-10-20 16:34:59 | INFO | src.utils:create_directories:220 | 目录创建成功: logs
2025-10-20 16:34:59 | INFO | src.utils:create_directories:220 | 目录创建成功: outputs
2025-10-20 16:34:59 | INFO | src.data_fetcher:__init__:36 | ETF数据获取器初始化完成
2025-10-20 16:34:59 | INFO | src.indicators:__init__:25 | 技术指标计算器初始化完成
2025-10-20 16:34:59 | INFO | src.utils:load_account_data:67 | 账户数据加载成功: data/account_data.json
2025-10-20 16:34:59 | INFO | src.account:__init__:26 | 账户管理器初始化完成
2025-10-20 16:34:59 | INFO | src.prompt_generator:__init__:27 | 语料生成器初始化完成
2025-10-20 16:34:59 | INFO | src.llm_client:__init__:36 | LLM客户端初始化完成，提供商: openai
2025-10-20 16:39:27 | INFO | src.utils:setup_logging:126 | 日志系统初始化成功
2025-10-20 16:39:27 | INFO | src.utils:create_directories:220 | 目录创建成功: data/market_data
2025-10-20 16:39:27 | INFO | src.utils:create_directories:220 | 目录创建成功: logs
2025-10-20 16:39:27 | INFO | src.utils:create_directories:220 | 目录创建成功: outputs
